elevation_m,slope_degree,soil_moisture_pct,ndvi,ANNUAL,landslide_risk_label
4005.2,25.09,93.0,0.873,2684.950757857667,1
241.4,8.68,37.71,0.765,2684.950757857667,0
2232.0,20.05,66.33,0.512,5486.3,0
1193.1,19.37,86.34,0.833,4693.9,1
775.4,38.67,81.83,0.817,4106.7,1
2167.7,13.98,66.59,0.872,5691.4,1
4184.5,30.32,45.1,0.521,4187.2,0
360.1,30.43,61.93,0.605,3507.5,1
4048.1,40.55,68.01,0.508,4450.5,0
317.6,24.0,79.11,0.521,4439.8,0
1309.5,15.82,35.47,0.493,3521.6,0
231.2,15.63,51.34,0.508,5253.2,0
737.4,22.24,81.2,0.631,5272.7,1
2265.2,43.55,48.04,0.415,4320.2,1
840.7,25.18,57.83,0.585,4334.1,1
189.4,11.85,48.88,0.741,4872.1,1
2541.8,11.35,53.27,0.429,4850.9,0
605.6,39.17,40.18,0.78,3773.3,1
1116.4,37.26,19.6,0.538,4575.7,0
254.3,10.0,39.17,0.629,4173.7,0
528.1,10.94,57.23,0.915,4788.9,1
264.1,17.43,6.58,0.391,3375.1,1
3488.7,21.14,29.27,0.559,6129.0,1
614.5,31.41,41.89,0.395,3898.7,1
3578.6,23.94,76.95,0.842,4099.3,0
540.3,5.38,52.64,0.904,4220.2,1
1226.3,17.06,31.74,0.516,3828.2,1
1288.1,30.37,50.01,0.448,4326.7,0
1601.1,24.27,35.94,0.549,3904.3,0
1725.3,12.83,53.0,0.677,3649.3,0
1700.4,24.52,86.51,0.821,4011.2,1
557.2,16.66,41.37,0.622,4369.1,0
3752.8,7.43,25.38,0.437,6331.1,0
170.0,1.78,40.79,0.619,4874.7,0
2325.7,21.28,95.13,0.877,2684.950757857667,0
1030.3,30.25,40.65,0.529,3354.2,1
660.2,9.09,61.9,0.742,2396.1,1
2171.8,34.42,70.59,0.318,2684.950757857667,1
3198.4,6.96,61.31,0.398,2684.950757857667,0
706.0,43.35,67.93,0.612,5063.5,1
4289.5,7.17,46.8,0.657,4195.5,1
247.0,1.73,35.73,0.822,3709.4,0
1082.4,11.69,55.32,0.654,3676.5,1
1469.2,33.83,83.93,0.418,2684.950757857667,0
577.8,16.42,24.15,0.402,4138.0,0
1535.8,14.04,74.6,0.379,4959.3,1
1987.5,23.76,66.91,0.772,2196.8,0
451.2,7.53,71.09,0.561,2209.6,1
2731.2,29.77,81.13,0.535,1668.5,1
780.2,5.06,83.71,0.573,2139.0,0
1539.0,38.11,50.62,0.57,1877.7,1
735.9,44.86,62.05,0.531,1973.4,0
904.7,22.31,35.78,0.462,2184.5,0
2033.2,16.55,67.97,0.639,2281.3,1
1005.6,12.21,58.15,0.316,2457.5,0
278.8,16.61,53.66,0.501,3063.9,0
1804.7,10.3,47.87,0.95,2213.3,1
343.1,4.02,88.58,0.894,2419.5,1
2079.4,5.16,88.46,0.433,3774.3,0
167.1,22.38,75.55,0.672,2531.0,0
699.6,38.64,27.24,0.477,2773.6,0
1932.4,20.03,70.31,0.644,3215.3,0
2924.5,18.78,35.4,0.876,2790.9,0
39.4,9.88,65.03,0.556,2779.5,1
2266.9,27.67,85.0,0.414,3335.3,1
701.1,3.88,6.72,0.531,3278.0,1
1476.6,49.41,25.9,0.658,3266.2,1
288.5,26.87,58.93,0.486,2495.6,1
1262.7,23.48,72.95,0.671,3433.2,0
2314.3,15.07,68.62,0.39,4155.3,0
2191.1,20.64,61.84,0.464,3281.6,0
167.1,9.83,72.68,0.591,3604.0,1
3624.6,20.68,70.14,0.607,3434.4,0
197.7,13.68,70.37,0.501,2707.0,0
1423.5,21.77,55.39,0.723,3348.9,1
1170.0,52.11,80.57,0.318,2287.4,1
375.9,21.24,41.91,0.712,3068.8,1
1879.7,37.46,41.61,0.579,2520.5,0
3608.7,24.37,77.89,0.508,2274.9,0
630.4,15.81,55.92,0.442,3616.7,1
4102.4,4.75,42.33,0.457,2316.6,0
664.3,20.64,66.92,0.643,2596.8,0
1567.2,9.02,63.92,0.614,2036.0,0
582.4,10.55,47.23,0.449,2389.2,1
508.3,11.02,40.09,0.737,2451.8,1
2075.9,23.78,77.33,0.468,2545.7,1
3338.9,12.15,60.87,0.246,2335.5,0
655.0,16.21,50.61,0.329,2259.6,1
2944.2,19.8,71.52,0.819,3020.7,0
269.7,12.53,23.8,0.722,2244.4,0
1906.8,8.1,58.11,0.435,1749.9,0
1053.1,15.6,64.33,0.124,2855.7,1
1432.4,15.61,38.82,0.805,2193.7,1
1313.0,21.55,72.85,0.854,3440.3,0
1045.7,11.61,62.53,0.584,2042.9,1
115.3,15.36,50.81,0.6,2403.2,0
2231.7,12.46,38.65,0.598,2767.5,1
572.5,23.7,64.67,0.495,2706.9,0
857.1,30.09,88.38,0.119,2745.3,1
1178.6,6.65,5.0,0.664,2498.6,0
1115.9,27.54,89.48,0.602,2952.1,1
282.6,8.75,38.3,0.741,2544.7,1
2866.5,14.6,55.68,0.673,2664.1,1
638.9,38.07,72.59,0.885,2790.6,0
2023.5,7.51,37.41,0.402,2663.4,1
293.8,17.08,29.62,0.3,2521.1,0
2013.8,36.98,11.63,0.856,2277.8,0
578.4,22.56,72.16,0.287,2377.0,1
722.6,32.24,57.02,0.406,2887.3,1
1795.9,23.59,66.63,0.888,3096.2,1
2964.5,6.98,70.89,0.451,2743.5,0
494.6,10.05,58.65,0.944,2760.5,1
2824.3,34.18,77.85,0.743,2343.8,1
282.7,12.62,77.17,0.71,3165.1,0
2085.5,23.99,67.07,0.594,2601.1,0
984.9,27.02,40.59,0.258,2519.9,0
675.2,28.7,69.66,0.494,3106.8,0
2488.4,32.54,23.71,0.658,2344.2,1
784.4,22.1,66.96,0.837,2623.6,0
