SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,state,latitude,longitude,elevation_m,slope_degree,aspect_degree,soil_moisture_pct,ndvi,soil_type,historical_landslides,distance_to_road_km,distance_to_river_km,land_cover,landslide_risk_label
Arunachal Pradesh,1916.0,48.1,69.8,71.1,316.1,424.6,1124.9,,629.7,333.9,,,,,117.9,811.8,,,Arunachal Pradesh,27.985,93.40139,4005.2,25.09,93.89,93.0,0.873,Sandy Loam,1,1.24,1.489,Barren,1
Arunachal Pradesh,1917.0,21.4,164.5,,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0.0,,185.9,,2772.8,262.8,Assam,26.93432,93.561,241.4,8.68,48.79,37.71,0.765,Mountain Soil,1,0.81,0.986,Forest,0
Arunachal Pradesh,1918.0,10.4,11.0,191.2,144.6,861.1,1609.9,1303.0,692.6,515.8,125.2,7.8,13.7,5486.3,21.4,1196.9,4121.3,146.7,Manipur,23.68664,94.72382,2232.0,20.05,343.59,66.33,0.512,Silty,3,0.685,1.555,Agriculture,0
Arunachal Pradesh,1919.0,34.5,67.8,28.5,256.9,420.6,973.6,999.0,286.7,628.7,948.3,40.7,8.6,4693.9,102.3,706.0,2888.0,997.6,Meghalaya,25.74919,91.31028,1193.1,19.37,59.61,86.34,0.833,Laterite,2,1.241,0.721,Agriculture,1
Arunachal Pradesh,1920.0,14.0,196.3,605.6,364.7,173.6,840.6,535.4,896.5,376.7,103.3,0.0,0.0,4106.7,210.3,1143.9,2649.2,103.3,Mizoram,23.29352,93.62977,775.4,38.67,315.83,81.83,0.817,Sandy Loam,3,3.225,0.506,Agriculture,1
Arunachal Pradesh,1921.0,78.9,54.3,180.3,358.0,598.0,1233.2,1433.0,885.9,603.4,246.3,4.6,15.5,5691.4,133.2,1136.3,4155.5,266.4,Nagaland,24.88155,93.30872,2167.7,13.98,38.54,66.59,0.872,Laterite,0,2.472,3.058,Forest,1
Arunachal Pradesh,1922.0,50.7,59.4,170.4,299.5,350.5,1109.3,918.7,488.3,207.6,483.5,30.3,19.0,4187.2,110.1,820.4,2723.9,532.8,Sikkim,27.04281,88.33925,4184.5,30.32,201.72,45.1,0.521,Mountain Soil,0,1.309,1.94,Agriculture,0
Arunachal Pradesh,1923.0,9.4,160.8,34.0,240.9,445.4,408.6,1278.5,251.3,617.3,50.1,8.4,2.8,3507.5,170.2,720.3,2555.7,61.3,Tripura,24.41823,90.0708,360.1,30.43,36.12,61.93,0.605,Alluvial,0,2.068,0.635,Agriculture,1
Arunachal Pradesh,1924.0,85.7,45.1,74.1,162.4,515.7,1165.0,942.7,713.8,410.8,303.3,31.9,0.0,4450.5,130.8,752.2,3232.3,335.2,Arunachal Pradesh,28.3703,92.98666,4048.1,40.55,128.41,68.01,0.508,Alluvial,1,1.608,0.987,Grassland,0
Arunachal Pradesh,1925.0,80.6,114.0,143.3,223.0,587.2,611.6,611.0,684.7,1222.0,153.2,5.1,4.1,4439.8,194.6,953.5,3129.3,162.4,Assam,27.20476,93.82306,317.6,24.0,120.12,79.11,0.521,Mountain Soil,2,2.166,1.506,Built-up,0
Arunachal Pradesh,1926.0,38.1,40.8,179.1,249.7,248.1,675.2,978.7,445.6,286.9,311.5,18.6,49.3,3521.6,78.9,676.9,2386.4,379.4,Manipur,25.25243,93.85701,1309.5,15.82,13.07,35.47,0.493,Clay,0,0.554,0.275,Forest,0
Arunachal Pradesh,1927.0,48.3,208.5,88.1,384.0,164.0,1045.4,923.2,727.8,1108.9,537.2,17.8,0.0,5253.2,256.8,636.1,3805.3,555.0,Meghalaya,25.66561,91.34907,231.2,15.63,216.61,51.34,0.508,Sandy Loam,2,1.052,0.611,Forest,0
Arunachal Pradesh,1928.0,48.9,39.7,118.2,123.4,431.9,1168.3,993.6,981.2,706.1,633.5,25.6,2.3,5272.7,88.6,673.5,3849.2,661.4,Mizoram,23.05456,93.92522,737.4,22.24,296.35,81.2,0.631,Silty,1,0.559,0.889,Forest,1
Arunachal Pradesh,1929.0,144.8,59.2,124.3,492.3,615.8,853.0,614.4,670.0,384.3,188.0,64.5,109.5,4320.2,204.1,1232.4,2521.8,362.0,Nagaland,25.01214,93.17554,2265.2,43.55,72.46,48.04,0.415,Clay,0,1.519,0.985,Agriculture,1
Arunachal Pradesh,1930.0,64.4,84.3,202.5,565.4,148.9,720.9,376.2,1055.5,637.0,361.1,93.2,24.9,4334.1,148.7,916.8,2789.5,479.1,Sikkim,26.65834,88.5553,840.7,25.18,296.24,57.83,0.585,Silty,0,0.219,2.828,Built-up,1
