station_id,region,timestamp_utc,precipitation_mm,radar_reflectivity_dbz,data_quality_flag
Gangtok_RMC,sikkim,2026-09-06T01:42:23.487745,9.79,51.1,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T01:42:23.487745,1.12,14.7,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T01:42:23.487745,4.14,27.4,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T01:42:23.487745,4.04,27.0,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T02:42:23.487745,9.54,50.1,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T02:42:23.487745,11.99,60.4,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T02:42:23.487745,2.63,21.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T02:42:23.487745,3.74,25.7,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T03:42:23.487745,1.81,17.6,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T03:42:23.487745,7.27,40.5,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T03:42:23.487745,6.27,36.3,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T03:42:23.487745,4.79,30.1,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T04:42:23.487745,1.96,18.2,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T04:42:23.487745,6.32,36.5,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T04:42:23.487745,4.12,27.3,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T04:42:23.487745,4.81,30.2,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T05:42:23.487745,10.61,54.6,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T05:42:23.487745,6.45,37.1,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T05:42:23.487745,0.85,13.6,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T05:42:23.487745,0.66,12.8,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T06:42:23.487745,2.95,22.4,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T06:42:23.487745,3.58,25.0,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T06:42:23.487745,7.07,39.7,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T06:42:23.487745,2.07,18.7,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T07:42:23.487745,12.42,62.2,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T07:42:23.487745,2.44,20.2,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T07:42:23.487745,6.93,39.1,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T07:42:23.487745,2.53,20.6,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T08:42:23.487745,6.18,36.0,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T08:42:23.487745,8.42,45.4,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T08:42:23.487745,2.72,21.4,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T08:42:23.487745,3.62,25.2,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T09:42:23.487745,12.15,61.0,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T09:42:23.487745,9.36,49.3,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T09:42:23.487745,5.9,34.8,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T09:42:23.487745,4.69,29.7,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T10:42:23.487745,9.74,50.9,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T10:42:23.487745,0.44,11.8,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T10:42:23.487745,1.55,16.5,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T10:42:23.487745,2.95,22.4,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T11:42:23.487745,4.02,26.9,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T11:42:23.487745,0.18,10.8,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T11:42:23.487745,5.45,32.9,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T11:42:23.487745,0.78,13.3,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T12:42:23.487745,9.58,50.2,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T12:42:23.487745,2.94,22.3,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T12:42:23.487745,1.39,15.8,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T12:42:23.487745,10.67,54.8,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T13:42:23.487745,8.82,47.0,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T13:42:23.487745,2.39,20.0,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T13:42:23.487745,3.14,23.2,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T13:42:23.487745,12.59,62.9,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T14:42:23.487745,6.22,36.1,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T14:42:23.487745,4.48,28.8,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T14:42:23.487745,14.23,65.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T14:42:23.487745,2.63,21.0,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T15:42:23.487745,5.31,32.3,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T15:42:23.487745,10.76,55.2,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T15:42:23.487745,3.84,26.1,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T15:42:23.487745,1.61,16.8,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T16:42:23.487745,12.97,64.5,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T16:42:23.487745,3.6,25.1,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T16:42:23.487745,2.37,20.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T16:42:23.487745,16.75,65.0,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T17:42:23.487745,3.42,24.4,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T17:42:23.487745,15.08,65.0,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T17:42:23.487745,1.49,16.3,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T17:42:23.487745,14.54,65.0,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T18:42:23.487745,3.77,25.8,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T18:42:23.487745,7.94,43.3,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T18:42:23.487745,4.2,27.6,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T18:42:23.487745,12.36,61.9,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T19:42:23.487745,14.32,65.0,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T19:42:23.487745,1.62,16.8,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T19:42:23.487745,2.75,21.6,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T19:42:23.487745,11.1,56.6,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T20:42:23.487745,4.2,27.6,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T20:42:23.487745,6.05,35.4,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T20:42:23.487745,19.51,65.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T20:42:23.487745,5.28,32.2,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T21:42:23.487745,6.56,37.6,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T21:42:23.487745,8.09,44.0,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T21:42:23.487745,9.8,51.2,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T21:42:23.487745,3.15,23.2,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T22:42:23.487745,5.1,31.4,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T22:42:23.487745,10.28,53.2,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T22:42:23.487745,3.15,23.2,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T22:42:23.487745,4.36,28.3,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-06T23:42:23.487745,4.46,28.7,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-06T23:42:23.487745,2.38,20.0,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-06T23:42:23.487745,3.56,25.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-06T23:42:23.487745,1.76,17.4,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-07T00:42:23.487745,1.53,16.4,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-07T00:42:23.487745,12.07,60.7,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-07T00:42:23.487745,26.8,65.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-07T00:42:23.487745,8.61,46.2,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-07T01:42:23.487745,2.88,22.1,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-07T01:42:23.487745,3.98,26.7,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-07T01:42:23.487745,9.27,48.9,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-07T01:42:23.487745,12.34,61.8,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-07T02:42:23.487745,9.55,50.1,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-07T02:42:23.487745,21.31,65.0,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-07T02:42:23.487745,4.2,27.6,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-07T02:42:23.487745,5.59,33.5,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-07T03:42:23.487745,3.84,26.1,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-07T03:42:23.487745,4.47,28.8,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-07T03:42:23.487745,3.1,23.0,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-07T03:42:23.487745,1.43,16.0,VERIFIED_IMD
Gangtok_RMC,sikkim,2026-09-07T04:42:23.487745,2.28,19.6,VERIFIED_IMD
Pakyong_AWS,sikkim,2026-09-07T04:42:23.487745,1.21,15.1,VERIFIED_IMD
Singtam_BRO,sikkim,2026-09-07T04:42:23.487745,3.29,23.8,VERIFIED_IMD
Rongli_AWS,sikkim,2026-09-07T04:42:23.487745,4.75,29.9,VERIFIED_IMD
